date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:08	89049/89049	---MCZ	200	added ('OK')	application/javascript	etag:W/%225851d53d-15bd9%22	http://findmatthew.com/scripts/pt.min.js	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/scripts/pt.min.js	(from http://findmatthew.com/)
16:25:08	4832/4832	---MCZ	200	added ('OK')	application/javascript	etag:W/%225851d53d-12e0%22	http://findmatthew.com/scripts/modal.js	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/scripts/modal.js	(from http://findmatthew.com/)
16:25:09	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://findmatthew.com/img/filler.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/filler.b.delayed	(from http://findmatthew.com/)
16:25:14	28201/28201	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-6e29%22	http://findmatthew.com/img/thumb-2.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-2.jpg	(from http://findmatthew.com/)
16:25:16	43703/43703	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-aab7%22	http://findmatthew.com/img/thumb-1.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-1.jpg	(from http://findmatthew.com/)
16:25:17	45331/45331	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-b113%22	http://findmatthew.com/img/thumb-3.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-3.jpg	(from http://findmatthew.com/)
16:25:19	31069/31069	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-795d%22	http://findmatthew.com/img/thumb-4.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-4.jpg	(from http://findmatthew.com/)
16:25:21	23851/23851	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-5d2b%22	http://findmatthew.com/img/thumb-6.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-6.jpg	(from http://findmatthew.com/)
16:25:23	43889/43889	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-ab71%22	http://findmatthew.com/img/thumb-5.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/thumb-5.jpg	(from http://findmatthew.com/)
16:25:27	35212/35212	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-898c%22	http://findmatthew.com/img/blog-2.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/blog-2.jpg	(from http://findmatthew.com/)
16:25:28	51638/51638	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-c9b6%22	http://findmatthew.com/img/blog-1.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/blog-1.jpg	(from http://findmatthew.com/)
16:25:31	50412/50412	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-c4ec%22	http://findmatthew.com/img/blog-3.jpg	C:/Users/legion/Desktop/ben%20portfolio/Benjamin%20masters%20portfofolio/findmatthew.com/img/blog-3.jpg	(from http://findmatthew.com/)
